task_id,team,role,user_id,task_name,description,priority,expected_duration,created_at,completed_at,completion_time,duration_error
7908,Engineering,Data Engineer,133,Performance profiling,Performance profiling for engineering team by data engineer.,Low,4.0,2024-07-01 09:06:00,2024-07-01 11:54:33.263952,2.81,-1.19
2251,Operations,Logistics Coordinator,3,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,8.0,2024-07-01 09:18:00,2024-07-02 12:54:09.497882,27.6,19.6
2178,Marketing,Social Media Manager,43,Keyword research,Keyword research for marketing team by social media manager.,Low,7.0,2024-07-01 09:18:00,2024-07-02 10:22:49.919535,25.08,18.08
3587,Engineering,Backend Engineer,133,Integration testing,Integration testing for engineering team by backend engineer.,Low,11.0,2024-07-01 09:19:00,2024-07-02 13:42:56.019706,28.4,17.4
8602,Engineering,QA Engineer,108,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,11.0,2024-07-01 09:23:00,2024-07-02 16:31:21.089017,31.14,20.14
7164,Engineering,Backend Engineer,125,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,5.0,2024-07-01 09:25:00,2024-07-02 09:24:34.687681,23.99,18.99
2092,Operations,Logistics Coordinator,159,Process documentation,Process documentation for operations team by logistics coordinator.,Low,6.0,2024-07-01 09:28:00,2024-07-02 09:50:09.882155,24.37,18.37
9892,Engineering,Data Engineer,77,Write unit tests,Write unit tests for engineering team by data engineer.,Low,7.0,2024-07-01 09:51:00,2024-07-04 10:10:12.149629,72.32,65.32
9008,Engineering,Frontend Engineer,164,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,4.0,2024-07-01 09:52:00,2024-07-01 13:09:16.261225,3.29,-0.71
3112,Engineering,Backend Engineer,98,Performance profiling,Performance profiling for engineering team by backend engineer.,Low,9.0,2024-07-01 09:55:00,2024-07-02 12:10:21.833520,26.26,17.26
4527,Finance,Accountant,65,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,3.0,2024-07-01 09:57:00,2024-07-01 13:26:49.902867,3.5,0.5
97,Finance,Financial Analyst,100,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,2.0,2024-07-01 10:06:00,2024-07-01 12:32:11.310211,2.44,0.43999999999999995
9574,Operations,Logistics Coordinator,29,Inventory check,Inventory check for operations team by logistics coordinator.,Low,2.0,2024-07-01 10:12:00,2024-07-01 15:33:03.687018,5.35,3.3499999999999996
3060,Marketing,Social Media Manager,14,Ad campaign optimization,Ad campaign optimization for marketing team by social media manager.,Medium,3.0,2024-07-01 10:14:00,2024-07-01 12:13:15.711033,1.99,-1.01
6331,Engineering,Data Engineer,37,Database schema update,Database schema update for engineering team by data engineer.,Medium,6.0,2024-07-01 10:18:00,2024-07-01 16:47:09.610792,6.49,0.4900000000000002
9755,Finance,Accountant,198,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,5.0,2024-07-01 10:24:00,2024-07-02 09:43:56.382600,23.33,18.33
7962,Engineering,Frontend Engineer,183,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,6.0,2024-07-01 10:34:00,2024-07-02 09:04:52.537132,22.51,16.51
5533,Marketing,Social Media Manager,25,Write blog post,Write blog post for marketing team by social media manager.,Low,3.0,2024-07-01 10:37:00,2024-07-01 15:25:56.831808,4.82,1.8200000000000003
6724,Engineering,Data Engineer,33,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,7.0,2024-07-01 10:39:00,2024-07-02 13:55:26.601555,27.27,20.27
3771,Marketing,Social Media Manager,24,Write blog post,Write blog post for marketing team by social media manager.,Low,7.0,2024-07-01 10:42:00,2024-07-02 12:23:18.754067,25.69,18.69
5863,Engineering,Frontend Engineer,186,Performance profiling,Performance profiling for engineering team by frontend engineer.,Low,10.0,2024-07-01 10:56:00,2024-07-02 16:21:20.577998,29.42,19.42
5473,Engineering,QA Engineer,93,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,4.0,2024-07-01 11:00:00,2024-07-01 15:02:24.139101,4.04,0.040000000000000036
